Account Number,Account Description,Store,StoreID,Cost Centre,Cost Centre Name,FacilityID,Cluster,ClusterID,Department,DepartmentID,Store Facility,Store Facility ID,Reason Code,Reason Description
4-76300-H01-101-2001-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Accident & Emergency,1,San Fernando General Hospital,1,SFGH A & E-L   ,Ambulatory Care-Linen Supplies 
4-76400-H01-101-2001-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Accident & Emergency,1,San Fernando General Hospital,1,SFGH A & E-H   ,Ambulatory Care-Hardware Sup   
4-87900-H02-307-0601-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Fssu General (Consolidated),35,Area Hospital Point Fortin,2,AHPF FSSU-S    ,AHPF FSSU- Stationery          
4-75100-D03-101-2001-00-000,Medical Supplies,Medical Stores,5,D03,Siparia District Health Facility,41,St. Patrick East,3,Accident & Emergency,1,Area Hospital Point Fortin,2,SDHF A&E-M     ,SDHF A&E-Medical               
4-76300-D03-101-2001-00-000,Linen Supplies,Linen Stores,4,D03,Siparia District Health Facility,41,St. Patrick East,3,Accident & Emergency,1,Area Hospital Point Fortin,2,SDHF A&E-L     ,SDHF A&E- Linen                
4-76400-D03-101-2001-00-000,Hardware Supplies,Hardware Stores,3,D03,Siparia District Health Facility,41,St. Patrick East,3,Accident & Emergency,1,Area Hospital Point Fortin,2,SDHF A&E-H     ,SDHF A&E-Hardware              
4-87900-H02-401-0627-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,General Admin,37,Area Hospital Point Fortin,2,"AHPF,STAT STOR ",AHPF Stationery Stores         
4-80400-H01-103-1051-00-000,,,,,San Fernando General Hospital,39,Victoria North,4,Anaesthesiology,2,San Fernando General Hospital,1,,
4-75100-A01-401-0649-00-000,Medical Supplies,Medical Stores,5,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Biomedical,3,San Fernando General Hospital,1,RAC BIOMED-M   ,RAC Biomedical- Medical        
4-76400-A01-401-0649-00-000,Hardware Supplies,Hardware Stores,3,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Biomedical,3,San Fernando General Hospital,1,RAC BIOMED-H   ,RAC Biomedical-Hardware        
4-87900-H02-101-2004-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,General Outpatient Clinic,40,Area Hospital Point Fortin,2,,
4-76400-H01-401-0649-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Biomedical,3,San Fernando General Hospital,1,,
4-75100-H03-401-0649-00-000,Medical Supplies,Medical Stores,5,H03,San Fernando Teaching Hospital,40,Victoria North,4,Biomedical,3,San Fernando General Hospital,1,SFTH BIOMEDIC-M,SFTH Biomedical- Medical       
4-75100-H02-201-0201-00-000,Medical Supplies,Medical Stores,5,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Blood Bank,4,Area Hospital Point Fortin,2,AHPF BLD BNK-M ,AHPF Blood Bank- Medical       
4-76100-H02-201-0201-00-000,Food Supplies,Food Stores,2,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Blood Bank,4,Area Hospital Point Fortin,2,AHPF BLD BNK-F ,AHPF Blood Bank - Food         
4-76400-H02-201-0201-00-000,Hardware Supplies,Hardware Stores,3,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Blood Bank,4,Area Hospital Point Fortin,2,AHPF BLD BNK-H ,AHPF Blood Bank- Hardware      
4-87900-H02-302-0476-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Housekeeping,48,Area Hospital Point Fortin,2,,
4-75100-H04-201-0201-00-000,Medical Supplies,Medical Stores,5,H04,Point Fortin Hospital,34,St. Patrick West,2,Blood Bank,4,Area Hospital Point Fortin,2,PFH BLD BANK-M ,PFH BLD BANK-Medical           
4-76100-H04-201-0201-00-000,Food Supplies,Food Stores,2,H04,Point Fortin Hospital,34,St. Patrick West,2,Blood Bank,4,Area Hospital Point Fortin,2,PFH BLD BANK-F ,PFH BLD BANK-Food              
4-76400-H04-201-0201-00-000,Hardware Supplies,Hardware Stores,3,H04,Point Fortin Hospital,34,St. Patrick West,2,Blood Bank,4,Area Hospital Point Fortin,2,PFH BLD BANK-H ,PFH BLD BANK- Hardware         
4-87900-H02-204-0276-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Laboratory,53,Area Hospital Point Fortin,2,AHPF POCT-S    ,AHPF POCT- Stationery          
4-75100-H01-201-0201-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Blood Bank,4,San Fernando General Hospital,1,SFGH BLD BANK-M,SFGH Blood Bank-Medical        
4-76100-H01-201-0201-00-000,Food Supplies,Food Stores,2,H01,San Fernando General Hospital,39,Victoria North,4,Blood Bank,4,San Fernando General Hospital,1,SFGH BLD BANK-F,Blood Bank-Food Supplies       
4-76300-H01-201-0201-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Blood Bank,4,San Fernando General Hospital,1,SFGH BLD BANK-L,Blood Bank-Linen Supplies      
4-76400-H01-201-0201-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Blood Bank,4,San Fernando General Hospital,1,SFGH BLD BANK-H,Blood Bank-Hardware Supplies   
4-87900-H02-303-0501-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Laundry,56,Area Hospital Point Fortin,2,,
4-76400-A01-401-0655-00-000,Hardware Supplies,Hardware Stores,3,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Board Of Directors & Chairman,5,San Fernando General Hospital,1,RAC BOD-H      ,RAC Board of Direct- Hardware  
4-87900-H02-108-1182-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Maternity Ward A (AHPF),60,Area Hospital Point Fortin,2,,
4-75100-H04-107-1159-00-000,Medical Supplies,Medical Stores,5,H04,Point Fortin Hospital,34,St. Patrick West,2,Burns Unit,6,Area Hospital Point Fortin,2,PFH BURN UNI-M ,PFH BURN UNI-Medical           
4-76100-H04-107-1159-00-000,Food Supplies,Food Stores,2,H04,Point Fortin Hospital,34,St. Patrick West,2,Burns Unit,6,Area Hospital Point Fortin,2,PFH BURN UNI-F ,PFH BURN UNI-Food              
4-76300-H04-107-1159-00-000,Linen Supplies,Linen Stores,4,H04,Point Fortin Hospital,34,St. Patrick West,2,Burns Unit,6,Area Hospital Point Fortin,2,PFH BURN UNI-L ,PFH BURN UNI-Linen             
4-76400-H04-107-1159-00-000,Hardware Supplies,Hardware Stores,3,H04,Point Fortin Hospital,34,St. Patrick West,2,Burns Unit,6,Area Hospital Point Fortin,2,PFH BURN UNI-H ,PFH BURN UNI-Hardware          
4-87900-H02-205-0301-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Medical Records,66,Area Hospital Point Fortin,2,AHPF MED REC-S ,Medical Records-Office Supply  
4-75100-H01-107-1159-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Burns Unit,6,San Fernando General Hospital,1,SFGH BURN UN-M ,SFGH Burns Unit-Medical        
4-76300-H01-107-1159-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Burns Unit,6,San Fernando General Hospital,1,SFGH BURN UN-L ,SFGH Burns Unit- Linen         
4-76400-H01-107-1159-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Burns Unit,6,San Fernando General Hospital,1,SFGH BURN UN-H ,SFGH Burns Unit- Hardware      
4-87900-H02-206-0326-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Pharmacy,86,Area Hospital Point Fortin,2,AHPF PHARM-S   ,AHPF Pharmacy - Stationery     
4-75100-H01-107-2151-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Burns/Plastic,7,San Fernando General Hospital,1,SFGH BURN/PLA-M,SFGH Burns/Plastic-Medical     
4-76100-H01-107-2151-00-000,Food Supplies,Food Stores,2,H01,San Fernando General Hospital,39,Victoria North,4,Burns/Plastic,7,San Fernando General Hospital,1,SFGH BURN/PLA-F,Surgical-Food Supplies         
4-76300-H01-107-2151-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Burns/Plastic,7,San Fernando General Hospital,1,SFGH BURN/PLA-L,Surgical-Linen Supplies        
4-76400-H01-107-2151-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Burns/Plastic,7,San Fernando General Hospital,1,SFGH BURN/PLA-H,Surgical-Hardware Supplies     
4-87900-H02-211-0626-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Pssu General (Consolidated),93,Area Hospital Point Fortin,2,AHPF MED ORD-S ,AHPF MED ORD- Stationery       
4-75100-H01-105-1110-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Cardiac Ward,8,San Fernando General Hospital,1,SFGH CARD WD-M ,SFGH Cardiac Wd -Medical       
4-76300-H01-105-1110-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Cardiac Ward,8,San Fernando General Hospital,1,SFGH CARD WD-L ,SFGH Cardiac Wd- Linen         
4-76400-H01-105-1110-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Cardiac Ward,8,San Fernando General Hospital,1,SFGH CARD WD-H ,SFGH Cardiac Wd -Hardware      
4-87900-H02-208-0376-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Radiology,98,Area Hospital Point Fortin,2,AHPF RADIOLO-S ,AHPF Radiology- Stationery     
4-75100-H01-105-2101-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Cardiology Clinic,9,San Fernando General Hospital,1,SFGH CARD CL-M ,SFGH Cardiol. Cl- Medical      
4-76300-H01-105-2101-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Cardiology Clinic,9,San Fernando General Hospital,1,SFGH CARD CL-L ,SFGH Cardiol. Cl- Linen        
4-76400-H01-105-2101-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Cardiology Clinic,9,San Fernando General Hospital,1,SFGH CARD CL-H ,SFGH Cardiol. Cl -Hardware     
4-87900-H02-304-0526-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Stores/Warehousing,106,Area Hospital Point Fortin,2,,
4-75100-H03-105-2101-00-000,Medical Supplies,Medical Stores,5,H03,San Fernando Teaching Hospital,40,Victoria North,4,Cardiology Clinic,9,San Fernando General Hospital,1,SFTH CARD CL-M ,SFTH Cardiology Cl- Medical    
4-76300-H03-105-2101-00-000,Linen Supplies,Linen Stores,4,H03,San Fernando Teaching Hospital,40,Victoria North,4,Cardiology Clinic,9,San Fernando General Hospital,1,SFTH CARD CL-L ,SFTH Cardiology Cl- Linen      
4-76400-H03-105-2101-00-000,Hardware Supplies,Hardware Stores,3,H03,San Fernando Teaching Hospital,40,Victoria North,4,Cardiology Clinic,9,San Fernando General Hospital,1,SFTH CARD CL-H ,SFTH Cardiology Cl- Hardware   
4-87900-H02-210-0426-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Theatre,108,Area Hospital Point Fortin,2,AHPF THEATRE-S ,AHPY Theatre- Stationery       
4-75100-H01-105-2114-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Chemotherapy/Oncology Clinic,11,San Fernando General Hospital,1,SFGH CHE/ONC-M ,SFGH Chemo/Oncology-Medical    
4-76300-H01-105-2114-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Chemotherapy/Oncology Clinic,11,San Fernando General Hospital,1,SFGH CHE/ONC-L ,SFGH Chemo/Oncology-Linen      
4-76400-H01-105-2114-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Chemotherapy/Oncology Clinic,11,San Fernando General Hospital,1,SFGH CHE/ONC-H ,SFGH Chemo/Oncology- Hardware  
4-87900-H02-105-1109-00-000,Office Supplies,Stationary Stores,6,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Ward B-AHPF,134,Area Hospital Point Fortin,2,AHPF WD B-S    ,AHPF WD B-Stationery           
4-75100-H01-105-2102-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Chest Clinic,12,San Fernando General Hospital,1,SFGH CHEST CL-M,SFGH Chest Clinic -Medical     
4-76300-H01-105-2102-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Chest Clinic,12,San Fernando General Hospital,1,SFGH CHEST CL-L,Medicine-Linen Supplies        
4-76400-H01-105-2102-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Chest Clinic,12,San Fernando General Hospital,1,SFGH CHEST CL-H,Medicine-Hardware Supplies     
4-81000-H02-101-2001-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Accident & Emergency,1,Area Hospital Point Fortin,2,,
4-75100-A01-401-0628-00-000,Medical Supplies,Medical Stores,5,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Chief Executive Officer,13,San Fernando General Hospital,1,RAC CEO-M      ,RAC CEO-Medical                
4-76400-A01-401-0628-00-000,Hardware Supplies,Hardware Stores,3,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Chief Executive Officer,13,San Fernando General Hospital,1,RAC CEO-H      ,RAC CEO-Hardware               
4-81000-H02-101-2004-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,General Outpatient Clinic,40,Area Hospital Point Fortin,2,,
4-75100-A01-401-0653-00-000,Medical Supplies,Medical Stores,5,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Chief Operations Officer,14,San Fernando General Hospital,1,RAC COO-M      ,RAC COO-Medical                
4-76400-A01-401-0653-00-000,Hardware Supplies,Hardware Stores,3,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Chief Operations Officer,14,San Fernando General Hospital,1,RAC COO-H      ,RAC COO- Hardware              
4-81000-H02-105-1109-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Ward B-AHPF,134,Area Hospital Point Fortin,2,,
4-75100-H01-105-2103-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Chiropody,15,San Fernando General Hospital,1,SFGH CHIROPO-M ,SFGH Chiropody-Medical         
4-76300-H01-105-2103-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Chiropody,15,San Fernando General Hospital,1,SFGH CHIROPO-L ,SFGH Chiropody-Linen           
4-76400-H01-105-2103-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Chiropody,15,San Fernando General Hospital,1,SFGH CHIROPO-H ,SFGH Chiropody- Hardware       
4-81000-H02-105-2104-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Diabetic Clinic,23,Area Hospital Point Fortin,2,,
4-75100-H01-108-2178-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Colposcopy,16,San Fernando General Hospital,1,SFGH COLPOSC-M ,SFGH Colposcopy -Medical       
4-76100-H01-108-2178-00-000,Food Supplies,Food Stores,2,H01,San Fernando General Hospital,39,Victoria North,4,Colposcopy,16,San Fernando General Hospital,1,SFGH COLPOSC-F ,SFGH Colposcopy -Food          
4-76300-H01-108-2178-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Colposcopy,16,San Fernando General Hospital,1,SFGH COLPOSC-L ,SFGH Colposcopy -Linen         
4-76400-H01-108-2178-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Colposcopy,16,San Fernando General Hospital,1,SFGH COLPOSC-H ,SFGH Colposcopy-Hardware       
4-81000-H02-108-1182-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Maternity Ward A (AHPF),60,Area Hospital Point Fortin,2,,
4-75100-D03-108-2178-00-000,Medical Supplies,Medical Stores,5,D03,Siparia District Health Facility,41,St. Patrick East,3,Colposcopy,16,Area Hospital Point Fortin,2,SDHF COLPOSC-M ,SDHF Colposcopy-Medical        
4-76300-D03-108-2178-00-000,Linen Supplies,Linen Stores,4,D03,Siparia District Health Facility,41,St. Patrick East,3,Colposcopy,16,Area Hospital Point Fortin,2,SDHF COLPOSC-L ,SDHF Colposcopy-Linen          
4-76400-D03-108-2178-00-000,Hardware Supplies,Hardware Stores,3,D03,Siparia District Health Facility,41,St. Patrick East,3,Colposcopy,16,Area Hospital Point Fortin,2,SDHF COLPOSC-H ,SDHF Colposcopy-Hardware       
4-76400-A01-401-0629-00-000,Hardware Supplies,Hardware Stores,3,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Commissiong & Projects,17,San Fernando General Hospital,1,RAC COM&PROJ-H ,RAC Com & Projects- Hardware   
4-81000-H02-201-0201-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Blood Bank,4,Area Hospital Point Fortin,2,AHPF BLD BNK-E ,AHPF Blood Bank- Engineering   
4-76400-H01-401-0629-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Commissiong & Projects,17,San Fernando General Hospital,1,,
4-76400-A01-401-0630-00-000,Hardware Supplies,Hardware Stores,3,A01,Regional Administrative Centre,36,Regional Administration Centre,6,Communications,19,San Fernando General Hospital,1,RAC COMMUNIC-H ,RAC Communication- Hardware    
4-81000-H02-203-0251-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Dietetics & Kitchen,25,Area Hospital Point Fortin,2,,
4-81000-H02-204-0276-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Laboratory,53,Area Hospital Point Fortin,2,AHPF POCT-E    ,AHPF POCT- Engineering         
4-75100-H01-401-0652-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Community Laision Unit,18,San Fernando General Hospital,1,,
4-76100-H01-401-0652-00-000,Food Supplies,Food Stores,2,H01,San Fernando General Hospital,39,Victoria North,4,Community Laision Unit,18,San Fernando General Hospital,1,SFGH COM LIAS-F,SFGH Com Liaison- Food         
4-76400-H01-401-0652-00-000,Hardware Supplies,Hardware Stores,3,H01,San Fernando General Hospital,39,Victoria North,4,Community Laision Unit,18,San Fernando General Hospital,1,SFGH COM LIAS-H,SFGH Com Liaison- Hardware     
4-81000-H02-205-0301-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Medical Records,66,Area Hospital Point Fortin,2,AHPF MED REC-E ,medical Records-PP&EM Exp      
4-75100-H05-103-1055-00-000,Medical Supplies,Medical Stores,5,H05,Augustus Long Hospital,2,Victoria North,4,Critical Care- Palliative Care,20,San Fernando General Hospital,1,CCOTT CRIT CA-M,CCOTT Critical Care- Medical   
4-76100-H05-103-1055-00-000,Food Supplies,Food Stores,2,H05,Augustus Long Hospital,2,Victoria North,4,Critical Care- Palliative Care,20,San Fernando General Hospital,1,CCOTT CRIT CA-F,CCOTT Critical Care-Food       
4-76300-H05-103-1055-00-000,Linen Supplies,Linen Stores,4,H05,Augustus Long Hospital,2,Victoria North,4,Critical Care- Palliative Care,20,San Fernando General Hospital,1,CCOTT CRIT CA-L,CCOTT Critical Care-Linen      
4-76400-H05-103-1055-00-000,Hardware Supplies,Hardware Stores,3,H05,Augustus Long Hospital,2,Victoria North,4,Critical Care- Palliative Care,20,San Fernando General Hospital,1,CCOTT CRIT CA-H,CCOTT Critical Care - Hardware 
4-81000-H02-206-0326-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Pharmacy,86,Area Hospital Point Fortin,2,AHPF PHARM-E   ,AHPF Pharmacy- Engineering     
4-75100-H05-202-0226-00-000,Medical Supplies,Medical Stores,5,H05,Augustus Long Hospital,2,Victoria North,4,Cssd,10,San Fernando General Hospital,1,CCOTT CSSD-M   ,CCOTT CSSD- Medical            
4-76300-H05-202-0226-00-000,Linen Supplies,Linen Stores,4,H05,Augustus Long Hospital,2,Victoria North,4,Cssd,10,San Fernando General Hospital,1,CCOTT CSSD-L   ,CCOTT CSSD-Linen               
4-76400-H05-202-0226-00-000,Hardware Supplies,Hardware Stores,3,H05,Augustus Long Hospital,2,Victoria North,4,Cssd,10,San Fernando General Hospital,1,CCOTT CSSD-H   ,CCOTT CSSD-Hardware            
4-81000-H02-208-0376-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Radiology,98,Area Hospital Point Fortin,2,AHPF RADIOLO-E ,AHPF Radiology- Engineering    
4-75100-H04-202-0226-00-000,Medical Supplies,Medical Stores,5,H04,Point Fortin Hospital,34,St. Patrick West,2,Cssd,10,Area Hospital Point Fortin,2,PFH CSSD-M     ,PFH CSSD-Medical               
4-76400-H04-202-0226-00-000,Hardware Supplies,Hardware Stores,3,H04,Point Fortin Hospital,34,St. Patrick West,2,Cssd,10,Area Hospital Point Fortin,2,PFH CSSD-H     ,PFH CSSD-Hardware              
4-81000-H02-210-0426-00-000,"Property, Plant & Equipment Maintenance",Engineering Stores,1,H02,Area Hospital Point Fortin,1,St. Patrick West,2,Theatre,108,Area Hospital Point Fortin,2,AHPF THEATRE-E ,AHPF Theatre- Engineering      
4-75100-H01-202-0226-00-000,Medical Supplies,Medical Stores,5,H01,San Fernando General Hospital,39,Victoria North,4,Cssd,10,San Fernando General Hospital,1,SFGH CSSD-M    ,SFGH CSSD- Medical             
4-76100-H01-202-0226-00-000,Food Supplies,Food Stores,2,H01,San Fernando General Hospital,39,Victoria North,4,Cssd,10,San Fernando General Hospital,1,,
4-76300-H01-202-0226-00-000,Linen Supplies,Linen Stores,4,H01,San Fernando General Hospital,39,Victoria North,4,Cssd,10,San Fernando General Hospital,1,SFGH CSSD-L    ,CSSD-Linen Supplies            
